convo_id,user,line_id,line,K1,K2,K3,K4,K5,K6,K7,K8,primary,secondary,,聲明：本研究已對原始對話資料進行去識別化處理，包括將研究對象之姓名與別名替換為代碼（R1、P1–P21），並將非研究對象之提及內容予以遮蔽。此項處理之目的在於保護資料中所提及人員之隱私，僅涉及識別欄位之替換，未變動對話內容之語意結構，因此不影響 SNA 互動矩陣與 ENA 概念連結之分析結果。
conv1,P2,1,記得有禁詞,0,1,0,0,0,0,0,0,K2,,,
conv1,P15,2,這時間醒來 是我老了嗎,0,0,0,1,0,0,0,0,K4,,,
conv1,P18,3,新年快樂,0,0,0,0,0,0,1,0,K7,,,
conv1,P18,4,等甚麼九尾 拿去自染,0,0,0,0,0,0,0,1,K8,,,
conv1,P14,5,在成套切換那邊吧,0,1,0,0,0,0,0,0,K2,,,
conv1,P18,6,套路成組那邊吧,0,1,0,0,0,0,0,0,K2,,,
conv1,P16,7,1.30我吃個飯,0,0,0,1,0,0,0,0,K4,,,
conv1,P8,8,超好笑 放假被挖起來開遊戲,0,0,1,0,0,1,0,0,K6,K3,,
conv1,P16,9,在拉屎嗎,1,0,0,0,0,0,0,0,K1,,,
conv1,P16,10,可以等你,0,0,1,0,0,0,0,0,K3,,,
conv1,R1,11,為啥突然這麼有味道,1,0,0,0,0,0,0,0,K1,,,
conv1,R1,12,好好笑,0,0,0,0,0,1,0,0,K6,,,
conv1,R1,13,終於抽滿了,0,0,0,1,0,0,0,0,K4,,,
conv1,P4,14,保底了,0,0,0,1,0,0,0,0,K4,,,
conv1,R1,15,那確實,0,0,0,0,0,0,1,0,K7,,,
conv1,R1,16,我剩5抽出來這本,0,0,0,1,0,0,0,0,K4,,,
conv1,P14,17,你的陽壽倒是發揮一下功用啊,0,0,0,0,0,0,0,1,K8,,,
conv1,P8,18,為什麼你們要一人開一個直播,1,0,0,0,0,0,0,0,K1,,,
conv1,P21,19,監視有沒有人偷懶,1,1,0,0,0,0,0,0,K1,K2,,
conv1,P8,20,6,0,0,0,0,0,0,0,1,K8,,,
conv1,P8,21,這也要壓力,0,0,0,0,0,0,0,1,K8,,,
conv1,P15,22,就P6在偷懶,0,0,0,0,0,0,0,1,K8,,,
conv1,P8,23,P15 P15,0,0,0,0,0,0,1,0,K7,,,
conv1,P8,24,我跟你說我給你看的照片好像是小顆的,0,0,0,1,0,0,0,0,K4,,,
conv1,P8,25,因為她剛剛給我確認的時候我嚇死超大,0,0,0,1,0,0,0,0,K4,,,
conv1,P15,26,太大了ㄅ,0,0,0,0,0,0,0,1,K8,,,
conv1,R1,27,我以為是監視誰在亂講話,0,0,0,1,0,0,0,0,K4,,,
conv1,P15,28,"""R1"" 可以再給一次緝盜的點嗎",1,0,0,0,0,0,0,0,K1,,,
conv1,R1,29,要等我一下,0,1,0,0,0,0,0,0,K2,,,
conv1,R1,30,"""P15"" 這個",0,1,0,0,0,0,0,0,K2,,,
conv1,P15,31,收,0,0,0,0,0,0,0,1,K8,,,
conv1,P15,32,感謝,0,0,0,0,0,0,1,0,K7,,,
conv1,R1,33,問個有人會解天機迷城大滿貫老一那個成就嗎,1,0,0,0,0,0,0,0,K1,,,
conv1,R1,34,我解到快起笑,0,0,0,0,0,1,0,0,K6,,,
conv1,R1,35,跟NPC搶仇搶了兩小時還沒搶到,0,0,0,0,0,0,0,1,K8,,,
conv1,P4,36,打固團往那邊衝過去,0,0,0,0,0,0,0,1,K8,,,
conv1,R1,37,?,0,0,0,0,1,0,0,0,K5,,,
conv1,P14,38,搞針對那個嗎？,1,0,0,0,0,0,0,0,K1,,,
conv1,R1,39,不是,0,0,0,0,1,0,0,0,K5,,,
conv1,P14,40,如果是拉仇那個，留一隻御鐵，自己帶打虎，她切大砲之後選跟隨,0,1,0,0,0,0,0,0,K2,,,
conv1,R1,41,是沒人幫忙的那個,0,0,0,1,0,0,0,0,K4,,,
conv1,R1,42,我已經自己帶打虎弄很久了,0,1,0,1,0,0,0,0,K2,K4,,
conv1,P14,43,建議找11個活人最快,0,1,0,0,0,0,0,0,K2,,,
conv1,P14,44,有時候人機真的很呆,0,1,0,0,0,0,0,0,K2,,,
conv1,P4,45,我都是跑去前面,0,1,0,1,0,0,0,0,K2,K4,,
conv1,P4,46,就是直接撞他,0,1,0,0,0,0,0,0,K2,,,
conv1,P14,47,還是找一個人幫你當隊長拉人機，你跟御鐵人機拉仇,0,1,0,0,0,0,0,0,K2,,,
conv1,P14,48,"那交給你了""P4""",0,0,0,0,0,0,0,1,K8,,,
conv1,P15,49,"""（未參與研究人員）"" 歡迎歡迎",0,0,0,0,0,0,1,0,K7,,,
conv1,P15,50,熱烈歡迎,0,0,0,0,0,0,1,0,K7,,,
conv1,P15,51,妳各位,0,0,0,0,0,0,0,1,K8,,,
conv1,P15,52,快出來歡迎阿,0,0,0,0,0,0,1,0,K7,,,
conv1,P14,53,歡迎光臨,0,0,0,0,0,0,1,0,K7,,,
conv1,R1,54,恭喜你發財 恭喜你精彩,0,0,0,0,0,0,1,0,K7,,,
conv1,P18,55,歡迎光臨 陽壽分我,0,0,0,0,0,0,1,0,K7,,,
conv1,P8,56,歡迎光臨,0,0,0,0,0,0,1,0,K7,,,
conv1,P2,57,歡迎,0,0,0,0,0,0,1,0,K7,,,
conv1,P9,58,歡迎~~,0,0,0,0,0,0,1,0,K7,,,
conv1,R1,59,"""P10"" 說他也想加你這個標籤的伺服器",0,0,0,0,0,0,0,1,K8,,,
conv1,P2,60,還以為我抽到天賞了,0,0,0,1,0,0,0,0,K4,,,
conv1,P2,61,不亞於點開是多多綠,0,0,0,1,0,0,0,0,K4,,,
conv1,R1,62,6,0,0,0,0,0,0,0,1,K8,,,
conv1,P2,63,6,0,0,0,0,0,0,0,1,K8,,,
conv1,P18,64,鐵衣群 進阿,0,0,0,0,0,0,0,1,K8,,,
conv1,P18,65,fMefQJQh,0,0,0,0,0,0,0,1,K8,,,
conv1,P18,66,"""P10""",0,0,0,0,0,0,1,0,K7,,,
conv1,P6,67,好想講那兩個字喔,0,0,0,0,0,0,0,1,K8,,,
conv1,P14,68,岩壁,0,0,0,0,0,0,0,1,K8,,,
